,text,category,Unnamed: 0.1,email_link,email_id,has_url,cleaned_text,nonsensical_words_removed
0,"Subject : Meeting Confirmation
Body : Hi, I wanted to confirm our meeting scheduled for tomorrow at 3 PM. Please let me know if this time still works for you.",expecting_reply,,,,0,"Subject : Meeting Confirmation
Body : Hi, I wanted to confirm our meeting scheduled for tomorrow at 3 PM. Please let me know if this time still works for you.",subject body hi I want to confirm our meeting schedule for tomorrow at please let I know if this time still work for you
1,"Subject : Feedback Request
Body : Hello, I hope this message finds you well. Could you please provide feedback on the draft I sent last week? Your input is highly appreciated.",expecting_reply,,,,0,"Subject : Feedback Request
Body : Hello, I hope this message finds you well. Could you please provide feedback on the draft I sent last week? Your input is highly appreciated.",subject request body hello I hope this message find you well could you please provide feedback on the draft I send last week your input be highly
2,"Subject : Project Update Needed
Body : Hi, Could you update me on the current status of the project? We need to ensure everything is on track for the upcoming deadline.",expecting_reply,,,,0,"Subject : Project Update Needed
Body : Hi, Could you update me on the current status of the project? We need to ensure everything is on track for the upcoming deadline.",subject body hi could you update I on the current status of the project we need to ensure everything be on track for the upcoming deadline
3,"Subject : Invoice Approval
Body : Dear [Name], Please review the attached invoice and let me know if it is approved for payment. Thank you.",expecting_reply,,,,0,"Subject : Invoice Approval
Body : Dear [Name], Please review the attached invoice and let me know if it is approved for payment. Thank you.",subject body dear name please review the attached invoice and let I know if it be approve for payment thank you
4,"Subject : Event RSVP
Body : Hello, We are organizing an event next month and would love for you to join us. Could you please RSVP by the end of this week?",expecting_reply,,,,0,"Subject : Event RSVP
Body : Hello, We are organizing an event next month and would love for you to join us. Could you please RSVP by the end of this week?",subject body hello we be organize an event next month and would love for you to join we could you please by the end of this week
5,"Subject : Document Review
Body : Hi, I have attached the document for your review. Please let me know your thoughts by Friday.",expecting_reply,,,,0,"Subject : Document Review
Body : Hi, I have attached the document for your review. Please let me know your thoughts by Friday.",subject body hi I have attach the document for your review please let I know your thought by Friday
6,"Subject : Schedule Confirmation
Body : Dear [Name], Can you confirm your availability for the scheduled call on Thursday at 10 AM?",expecting_reply,,,,0,"Subject : Schedule Confirmation
Body : Dear [Name], Can you confirm your availability for the scheduled call on Thursday at 10 AM?",subject body dear name can you confirm your availability for the call on Thursday at am
7,"Subject : Request for Information
Body : Hello, Could you provide the latest figures for the quarterly report? We need them by tomorrow.",expecting_reply,,,,0,"Subject : Request for Information
Body : Hello, Could you provide the latest figures for the quarterly report? We need them by tomorrow.",subject request for body hello could you provide the late figure for the quarterly report we need they by tomorrow
8,"Subject : Travel Itinerary Approval
Body : Hi, Please review the attached travel itinerary and confirm if it meets your requirements.",expecting_reply,,,,0,"Subject : Travel Itinerary Approval
Body : Hi, Please review the attached travel itinerary and confirm if it meets your requirements.",subject body hi please review the attach travel itinerary and confirm if it meet your requirement
9,"Subject : Contract Renewal
Body : Dear [Name], Our contract is up for renewal next month. Could you let us know if you wish to continue with the current terms?",expecting_reply,,,,0,"Subject : Contract Renewal
Body : Dear [Name], Our contract is up for renewal next month. Could you let us know if you wish to continue with the current terms?",subject body dear name our contract be up for renewal next month could you let we know if you wish to continue with the current term
10,"Subject : Technical Support Needed
Body : Hello, We are experiencing some technical issues with the software. Could you assist us in resolving them?",expecting_reply,,,,0,"Subject : Technical Support Needed
Body : Hello, We are experiencing some technical issues with the software. Could you assist us in resolving them?",subject need body hello we be experience some technical issue with the could you assist we in resolve they
11,"Subject : Proposal Feedback
Body : Hi, I have sent you the proposal draft. Could you please review it and provide your feedback?",expecting_reply,,,,0,"Subject : Proposal Feedback
Body : Hi, I have sent you the proposal draft. Could you please review it and provide your feedback?",subject body hi I have send you the proposal draft could you please review it and provide your feedback
12,"Subject : Budget Confirmation
Body : Dear [Name], Could you confirm the budget allocation for the upcoming quarter?",expecting_reply,,,,0,"Subject : Budget Confirmation
Body : Dear [Name], Could you confirm the budget allocation for the upcoming quarter?",subject body dear name could you confirm the budget allocation for the upcoming quarter
13,"Subject : Team Meeting Agenda
Body : Hello, Please review the attached agenda for our team meeting next week and let me know if you have any additions.",expecting_reply,,,,0,"Subject : Team Meeting Agenda
Body : Hello, Please review the attached agenda for our team meeting next week and let me know if you have any additions.",subject body hello please review the attach agenda for our team meet next week and let I know if you have any addition
14,"Subject : Product Inquiry
Body : Hi, I am interested in your product and would like to know more about its features. Could you provide more information?",expecting_reply,,,,0,"Subject : Product Inquiry
Body : Hi, I am interested in your product and would like to know more about its features. Could you provide more information?",subject product body hi I be interested in your product and would like to know more about its feature could you provide more information
15,"Subject : Job Application Follow-up
Body : Dear [Name], I applied for the position last month and wanted to follow up on the status of my application.",expecting_reply,,,,0,"Subject : Job Application Follow-up
Body : Dear [Name], I applied for the position last month and wanted to follow up on the status of my application.",subject Job up body dear name I apply for the position last month and want to follow up on the status of my application
16,"Subject : Training Session Confirmation
Body : Hello, Could you confirm your attendance for the training session scheduled next week?",expecting_reply,,,,0,"Subject : Training Session Confirmation
Body : Hello, Could you confirm your attendance for the training session scheduled next week?",subject body hello could you confirm your attendance for the training session schedule next week
17,"Subject : Partnership Proposal
Body : Hi, We are interested in a potential partnership. Could you review our proposal and let us know your thoughts?",expecting_reply,,,,0,"Subject : Partnership Proposal
Body : Hi, We are interested in a potential partnership. Could you review our proposal and let us know your thoughts?",subject body hi we be interested in a potential partnership could you review our proposal and let we know your thought
18,"Subject : Order Confirmation
Body : Dear [Name], Could you confirm the details of your recent order with us?",expecting_reply,,,,0,"Subject : Order Confirmation
Body : Dear [Name], Could you confirm the details of your recent order with us?",subject body dear name could you confirm the detail of your recent order with we
19,"Subject : Service Feedback Request
Body : Hello, We value your opinion. Could you provide feedback on the service you received last week?",expecting_reply,,,,0,"Subject : Service Feedback Request
Body : Hello, We value your opinion. Could you provide feedback on the service you received last week?",subject body hello we value your opinion could you provide feedback on the service you receive last week
20,"Subject : Appointment Rescheduling
Body : Hi, I need to reschedule our appointment. Could you let me know your availability for next week?",expecting_reply,,,,0,"Subject : Appointment Rescheduling
Body : Hi, I need to reschedule our appointment. Could you let me know your availability for next week?",subject body hi I need to reschedule our appointment could you let I know your availability for next week
21,"Subject : Membership Renewal
Body : Dear [Name], Your membership is due for renewal. Could you confirm if you wish to continue?",expecting_reply,,,,0,"Subject : Membership Renewal
Body : Dear [Name], Your membership is due for renewal. Could you confirm if you wish to continue?",subject body dear name your membership be due for renewal could you confirm if you wish to continue
22,"Subject : Survey Participation Request
Body : Hello, We are conducting a survey and would appreciate your participation. Could you complete it by the end of the week?",expecting_reply,,,,0,"Subject : Survey Participation Request
Body : Hello, We are conducting a survey and would appreciate your participation. Could you complete it by the end of the week?",subject body hello we be conduct a survey and would appreciate your participation could you complete it by the end of the week
23,"Subject : Website Update Inquiry
Body : Hi, Could you let us know when the website updates will be completed?",expecting_reply,,,,0,"Subject : Website Update Inquiry
Body : Hi, Could you let us know when the website updates will be completed?",subject body hi could you let we know when the update will be complete
24,"Subject : Client Feedback Request
Body : Dear [Name], Could you provide feedback on the recent project we completed for you?",expecting_reply,,,,0,"Subject : Client Feedback Request
Body : Dear [Name], Could you provide feedback on the recent project we completed for you?",subject body dear name could you provide feedback on the recent project we complete for you
25,"Subject : Meeting Confirmation
Body : Hi [Name],

I hope this email finds you well. I am writing to confirm our meeting scheduled for [Date] at [Time]. Please let me know if this time still works for you or if there are any changes.

Looking forward to our discussion.

Best regards,
[Your Name]",expecting_reply,,,,0,"Subject : Meeting Confirmation
Body : Hi [Name],

I hope this email finds you well. I am writing to confirm our meeting scheduled for [Date] at [Time]. Please let me know if this time still works for you or if there are any changes.

Looking forward to our discussion.

Best regards,
[Your Name]",subject body hi name I hope this find you well I be write to confirm our meeting schedule for date at time please let I know if this time still work for you or if there be any change look forward to our discussion good regard your name
26,"Subject : Feedback Request
Body : Dear [Name],

I hope you are doing well. We recently completed the project and would appreciate your feedback on the deliverables. Your insights are valuable to us and will help us improve our services.

Thank you in advance for your time.

Best regards,
[Your Name]",expecting_reply,,,,0,"Subject : Feedback Request
Body : Dear [Name],

I hope you are doing well. We recently completed the project and would appreciate your feedback on the deliverables. Your insights are valuable to us and will help us improve our services.

Thank you in advance for your time.

Best regards,
[Your Name]",subject request body dear name I hope you be do well we recently complete the project and would appreciate your feedback on the deliverable your insight be valuable to we and will help we improve our service thank you in advance for your time good regard your name
27,"Subject : Invoice Query
Body : Hello [Name],

I hope this message finds you well. I am writing to inquire about the invoice #12345 that was due on [Date]. Could you please confirm if the payment has been processed?

Thank you for your assistance.

Best regards,
[Your Name]",expecting_reply,,,,0,"Subject : Invoice Query
Body : Hello [Name],

I hope this message finds you well. I am writing to inquire about the invoice #12345 that was due on [Date]. Could you please confirm if the payment has been processed?

Thank you for your assistance.

Best regards,
[Your Name]",subject body hello name I hope this message find you well I be write to inquire about the invoice that be due on date could you please confirm if the payment have be process thank you for your assistance good regard your name
28,"Subject : Proposal Follow-up
Body : Hi [Name],

I wanted to follow up on the proposal I sent last week regarding [Project Name]. Please let me know if you have any questions or need further information.

Looking forward to your feedback.

Best regards,
[Your Name]",expecting_reply,,,,0,"Subject : Proposal Follow-up
Body : Hi [Name],

I wanted to follow up on the proposal I sent last week regarding [Project Name]. Please let me know if you have any questions or need further information.

Looking forward to your feedback.

Best regards,
[Your Name]",subject up body hi name I want to follow up on the proposal I send last week regard name please let I know if you have any question or need further information look forward to your feedback good regard your name
29,"Subject : Event Participation Confirmation
Body : Dear [Name],

Thank you for your interest in our event. Could you please confirm your participation by [Date]? We look forward to welcoming you.

Best regards,
[Your Name]",expecting_reply,,,,0,"Subject : Event Participation Confirmation
Body : Dear [Name],

Thank you for your interest in our event. Could you please confirm your participation by [Date]? We look forward to welcoming you.

Best regards,
[Your Name]",subject body dear name thank you for your interest in our event could you please confirm your participation by date we look forward to welcome you good regard your name
30,"Subject : Meeting Confirmation
Body : Hi Team,

Just confirming our meeting scheduled for tomorrow at 10 AM. Please let me know if you will be able to attend.

Best,
Alex",expecting_reply,,,,0,"Subject : Meeting Confirmation
Body : Hi Team,

Just confirming our meeting scheduled for tomorrow at 10 AM. Please let me know if you will be able to attend.

Best,
Alex",subject body hi just confirm our meeting schedule for tomorrow at am please let I know if you will be able to attend Alex
31,"Subject : Feedback Request
Body : Dear Customer,

We hope you are enjoying our service. Could you please take a moment to provide your feedback? Your opinion matters to us.

Thank you,
Customer Service Team",expecting_reply,,,,0,"Subject : Feedback Request
Body : Dear Customer,

We hope you are enjoying our service. Could you please take a moment to provide your feedback? Your opinion matters to us.

Thank you,
Customer Service Team",subject request body we hope you be enjoy our service could you please take a moment to provide your feedback your opinion matter to we thank you
32,"Subject : Project Update Needed
Body : Hello John,

Could you please provide an update on the current status of the project by the end of the day? We need to ensure everything is on track.

Thanks,
Project Manager",expecting_reply,,,,0,"Subject : Project Update Needed
Body : Hello John,

Could you please provide an update on the current status of the project by the end of the day? We need to ensure everything is on track.

Thanks,
Project Manager",subject body hello John could you please provide an update on the current status of the project by the end of the day we need to ensure everything be on track thank
33,"Subject : RSVP for Event
Body : Hi Sarah,

We are organizing a charity event next weekend. Could you please RSVP by this Friday? We hope to see you there!

Warm regards,
Event Coordinator",expecting_reply,,,,0,"Subject : RSVP for Event
Body : Hi Sarah,

We are organizing a charity event next weekend. Could you please RSVP by this Friday? We hope to see you there!

Warm regards,
Event Coordinator",subject for event body hi Sarah we be organize a charity event next weekend could you please by this Friday we hope to see you there warm regard
34,"Subject : Invoice Approval Required
Body : Dear Finance Team,

Please review and approve the attached invoice at your earliest convenience. Let me know if there are any issues.

Thanks,
Accounts Department",expecting_reply,,,,0,"Subject : Invoice Approval Required
Body : Dear Finance Team,

Please review and approve the attached invoice at your earliest convenience. Let me know if there are any issues.

Thanks,
Accounts Department",subject body please review and approve the attached invoice at your early convenience let I know if there be any issue thank
35,"Subject : Job Application Follow-up
Body : Hi HR Team,

I submitted my application for the Software Engineer position last week. Could you please update me on the status of my application?

Thank you,
Michael",expecting_reply,,,,0,"Subject : Job Application Follow-up
Body : Hi HR Team,

I submitted my application for the Software Engineer position last week. Could you please update me on the status of my application?

Thank you,
Michael",subject Job up body I submit my application for the position last week could you please update I on the status of my application thank you Michael
36,"Subject : Travel Itinerary Confirmation
Body : Dear Traveler,

Please confirm your travel itinerary for the upcoming business trip. Let us know if any changes are needed.

Safe travels,
Travel Desk",expecting_reply,,,,0,"Subject : Travel Itinerary Confirmation
Body : Dear Traveler,

Please confirm your travel itinerary for the upcoming business trip. Let us know if any changes are needed.

Safe travels,
Travel Desk",subject body please confirm your travel itinerary for the upcoming business trip let we know if any change be need safe travel
